2015-11-10 14:47:49 ('172.19.29.92', 8063) (c) Markus
2015-11-10 14:48:01 ('172.19.20.7', 8297) (c) seevendsuk6rval
2015-11-10 14:48:06 ('172.19.20.7', 8297) (p) seevendsuk6rval:  ddd
2015-11-10 14:48:13 ('172.19.20.7', 8297) (d) seevendsuk6rval
2015-11-10 14:48:16 ('172.19.29.92', 8063) (d) Markus
2015-11-10 14:48:18 ('172.19.20.7', 8819) (c) seevendsuk6rval
2015-11-10 14:48:20 ('172.19.29.92', 8869) (c) Markus
2015-11-10 14:48:23 ('172.19.29.92', 8869) (p) Markus:  asdasd
2015-11-10 14:48:25 ('172.19.29.92', 8869) (d) Markus
2015-11-10 14:48:27 ('172.19.20.7', 8819) (d) seevendsuk6rval
