2015-11-10 15:16:53 ('172.17.175.170', 8246) (c) Markus
2015-11-10 15:16:55 ('172.17.175.170', 8246) (p) Markus:  asdasd
2015-11-10 15:16:58 ('172.17.175.170', 8246) (d) Markus
2015-11-10 15:17:04 ('172.17.170.108', 8651) (d) seevendsuk6rval
2015-11-10 15:17:09 ('172.17.170.108', 8249) (c) seevendsuk6rval
2015-11-10 15:17:15 ('172.17.170.108', 8249) (p) seevendsuk6rval:  pppp
2015-11-10 15:17:16 ('172.17.175.170', 8400) (c) Markus
2015-11-10 15:17:18 ('172.17.175.170', 8400) (p) Markus:  asdasd
2015-11-10 15:17:19 ('172.17.175.170', 8400) (p) Markus:  asmdöasmd
2015-11-10 15:17:20 ('172.17.175.170', 8400) (p) Markus:  öals,däa,sd
2015-11-10 15:17:26 ('172.17.170.108', 8249) (d) seevendsuk6rval
2015-11-10 15:18:44 ('172.17.175.170', 8400) (d) Markus
